Genus,Species,Analogue,Site,Type,UrchinID,Condition,Abs_lat,UrchinID,TestDiameter,ThicknessCT(um),Mean_intensity,Voxel_size,Porosity,MgCO3,Spine_length,Spine_diameter,Spine_diameter,Spine_porosity,Jaw_length,UrchinID
Paracentrotus,lividus,Chiane del Lume,Chiane del Lume,Seep,P-R-C4,Reference,40.718,P-R-C4,70.063,807.966,34981.4,3.1767,39.879,,21.8738,1.53,1529.758,17.6988997,15.1,P-R-C4
Paracentrotus,lividus,Chiane del Lume,Chiane del Lume,Seep,P-R-C5,Reference,40.718,P-R-C5,74.564,703.156,36489.8,2.7024,35.95284,,20.8572,1.21,1210.328,18.5871434,15.7,P-R-C5
Paracentrotus,lividus,Chiane del Lume,Chiane del Lume,Seep,P-R-C6,Reference,40.718,P-R-C6,67.942,710.519,34187.1,2.7027,40.6217512,11.7585034,19.088,1.262,1261.799,14.3394932,14.6,P-R-C6
Paracentrotus,lividus,Chiane del Lume,Chiane del Lume,Seep,P-R-C7,Reference,40.718,P-R-C7,62.779,651.811,35454,2.555,37.1096215,10.1496599,20.91,1.14,1139.534,16.2825426,12.0,P-R-C7
Paracentrotus,lividus,Chiane del Lume,Chiane del Lume,Seep,P-R-C8,Reference,40.718,P-R-C8,52.652,614.943,37944.2,2.555,43.5034723,10.3095238,19.382,1.183,1183,,11.3,P-R-C8
Arbacia,lixula,Chiane del Lume,Chiane del Lume,Seep,A-R-V1,Extreme,40.718,A-R-V1,54.594,846.961,35622.2,2.3853,40.1137,10.9625850340136,22.3088,1.441,1440.6,,17.1,A-R-V1
Arbacia,lixula,Chiane del Lume,Chiane del Lume,Seep,A-R-V2,Extreme,40.718,A-R-V2,53.354,908.134,37426.4,2.3853,45.28221,10.7517006802721,20.9206,1.389,1389.083,40.1691949,16.9,A-R-V2
Arbacia,lixula,Chiane del Lume,Chiane del Lume,Seep,A-R-V3,Extreme,40.718,A-R-V3,57.232,874.515,38683.8,2.3853,48.79202,9.19047619047619,19.755,1.372,1372.294,34.4362398,16.7,A-R-V3
Arbacia,lixula,Chiane del Lume,Chiane del Lume,Seep,A-R-V4,Extreme,40.718,A-R-V4,54.09,716.506,39047.3,2.3853,45.3022,,20.3592,1.339,1339.4,,18.3,A-R-V4
Arbacia,lixula,Chiane del Lume,Chiane del Lume,Seep,A-R-V5,Extreme,40.718,A-R-V5,49.42,762.566,38689.1,2.1351,52.8985429,,22.4536,1.532,1531.678,37.1368222,15.1,A-R-V5
Arbacia,lixula,Chiane del Lume,Chiane del Lume,Seep,A-R-V6,Extreme,40.718,A-R-V6,60.655,822.808,37644.2,2.8428,46.5016416,,21.3372,1.302,1301.579,37.5707536,18.7,A-R-V6
Arbacia,lixula,Chiane del Lume,Chiane del Lume,Seep,A-R-V7,Extreme,40.718,A-R-V7,51.72,713.651333,39034.9,2.24558,47.9520798,,23.226,1.332,1331.736,39.0590683,15.5,A-R-V7
Arbacia,lixula,Chiane del Lume,Chiane del Lume,Seep,A-R-V8,Extreme,40.718,A-R-V8,48.619,891.232667,39016.8,2.24558,47.1468577,,19.8092,1.3,1299.599,37.571675,17.4,A-R-V8
Paracentrotus,lividus,Chiane del Lume,Chiane del Lume,Seep,P-R-V1,Extreme,40.718,P-R-V1,71.592,752.999667,36769.4,2.55440,31.6732454,11.047619047619,19.2424,1.285,1284.571,14.0896093,14.8,P-R-V1
Paracentrotus,lividus,Chiane del Lume,Chiane del Lume,Seep,P-R-V2,Extreme,40.718,P-R-V2,69.248,696.202,40182.3,3.1763,51.572586,,19.84,1.227,1226.807,15.5276923,13.7,P-R-V2
Paracentrotus,lividus,Chiane del Lume,Chiane del Lume,Seep,P-R-V3,Extreme,40.718,P-R-V3,59.518,467.12,38128.8,2.3854,40.263378,13.6258503401361,19.06,0.94,940,,12.3,P-R-V3
Paracentrotus,lividus,Chiane del Lume,Chiane del Lume,Seep,P-R-V4,Extreme,40.718,P-R-V4,80.006,788.503,38205,3.1768,46.363895,,20.270,1.336,1335.99,18.6401532,15.2,P-R-V4
Paracentrotus,lividus,Chiane del Lume,Chiane del Lume,Seep,P-R-V5,Extreme,40.718,P-R-V5,69.144,715.279,33991.8,3.1770,42.29062,11.4455782312925,18.9204,1.204,1204.2,,14.1,P-R-V5
